routeid,created_utc,activitytype,latitude,longitude,distance_m,n_points
4058f19eacf86296b8cd55858c7edb2a,2012-09-09 19:24:19.602000,Running,42.348588,-71.134084,6477.577467749117,47
21d305b367a23a143b6a28ba131519a8,2012-09-09 22:59:21.689000,Running,42.35692,-71.132936,915.2259418011407,3
681a04f3fc30de6f08335efa6ba92168,2012-09-10 00:12:31.197000,Running,42.38596,-71.13153,5917.059207797505,172
9ef9c35c417315164247616e21a1cdcf,2012-09-10 01:19:27.366000,Running,42.38704,-71.11923,6607.432666504341,227
be562607f6f48b992bd4bbbbe9f8bafb,2012-09-10 01:25:36.088000,Running,42.36234,-71.1055,1512.9759436264467,53
a60eaef2ff8d07accbc610c9a3e96c03,2012-09-10 01:26:56.160000,Running,42.36222,-71.10531,1090.263810554994,32
446a5c89f20fd07284067e52a264c99e,2012-09-10 10:50:43.877000,Running,42.34899,-71.13974,3392.124453217307,107
84de9e49ee5a0d4a1e542320ccbbcd81,2012-09-10 11:31:05.242000,Running,42.35019,-71.09191,7081.894633890769,336
d843d94f8c564e6e11383d7dee575ed1,2012-09-10 11:33:21.328000,Running,42.35026,-71.09164,9575.372597778483,466
45f96930f4b40f8eb7f6792a483694a2,2012-09-10 15:39:44.108000,Running,42.364683,-71.072261,11283.680727015466,30
79165a0f7d1be4e620ab911072ab57fd,2012-09-10 15:43:27.657000,Running,42.3564,-71.07524,9433.277333493481,439
d3733df8f1c328a5d4b499d939130a1f,2012-09-10 15:57:34.191000,Running,42.35627,-71.07153,6774.662532333491,437
4165ccd4cb862dfd8ed7a02e2e919620,2012-09-10 16:34:25.968000,Running,42.357463,-71.063258,3995.657223779676,29
ebd1b8edd0dbbd88db6138385a1f8295,2012-09-10 20:50:30.559000,Cycling,42.327967,-71.099415,6648.832524258481,45
c53faedab3e006656fffa99f9efeabf2,2012-09-10 22:50:01.659000,Running,42.21243,-71.094748,13112.430406194067,495
